2017-01-24 02:41:24,755 - INFO - 3692:Dummy-24 - zato_admin:22 - cid:[K06HWH0G5RDPWC3B5XS1GTVZYA6N], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:41:24,806 - INFO - 3691:Dummy-45 - zato_admin:22 - cid:[K06HWH0G5RDPWC3B5XS1GTVZYA6N], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:41:41,404 - INFO - 3691:Dummy-46 - zato_admin:22 - cid:[K04JYD287E9JTWDT3DJJEECQQGZR], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:41:41,427 - INFO - 3691:Dummy-46 - zato_admin:22 - cid:[K04JYD287E9JTWDT3DJJEECQQGZR], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:41:54,753 - INFO - 3692:Dummy-25 - zato_admin:22 - cid:[K07BASB6FKR16308PZ2YYCDEAVNX], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:41:54,753 - INFO - 3692:Dummy-25 - zato_admin:22 - cid:[K07BASB6FKR16308PZ2YYCDEAVNX], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:41:54,759 - INFO - 3691:Dummy-48 - zato_admin:22 - cid:[K07BASB6FKR16308PZ2YYCDEAVNX], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:41:54,771 - INFO - 3691:Dummy-48 - zato_admin:22 - cid:[K07BASB6FKR16308PZ2YYCDEAVNX], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:42:24,755 - INFO - 3691:Dummy-50 - zato_admin:22 - cid:[K07434KGMJSVD0VBKNT7BATC1YRR], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:42:24,757 - INFO - 3692:Dummy-26 - zato_admin:22 - cid:[K07434KGMJSVD0VBKNT7BATC1YRR], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:42:24,757 - INFO - 3692:Dummy-26 - zato_admin:22 - cid:[K07434KGMJSVD0VBKNT7BATC1YRR], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:42:24,775 - INFO - 3691:Dummy-50 - zato_admin:22 - cid:[K07434KGMJSVD0VBKNT7BATC1YRR], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:42:41,409 - INFO - 3691:Dummy-51 - zato_admin:22 - cid:[K063BJ2YYBTY20HSASXCW9VW3EJK], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:42:41,465 - INFO - 3691:Dummy-51 - zato_admin:22 - cid:[K063BJ2YYBTY20HSASXCW9VW3EJK], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:42:54,493 - INFO - 3692:Dummy-27 - zato_admin:22 - cid:[K06B63YK09412YCDRPCHX9KK77YH], name:[zato.stats.aggregate-by-minute], SIO request:[{}]
2017-01-24 02:42:54,506 - INFO - 3692:Dummy-27 - zato_admin:22 - cid:[K06B63YK09412YCDRPCHX9KK77YH], name:[zato.stats.aggregate-by-minute], response:[]
2017-01-24 02:42:54,756 - INFO - 3691:Dummy-53 - zato_admin:22 - cid:[K07GEE9P8X1F97K6BD39BKNWHSES], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:42:54,758 - INFO - 3692:Dummy-28 - zato_admin:22 - cid:[K07GEE9P8X1F97K6BD39BKNWHSES], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:42:54,758 - INFO - 3692:Dummy-28 - zato_admin:22 - cid:[K07GEE9P8X1F97K6BD39BKNWHSES], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:42:54,772 - INFO - 3691:Dummy-53 - zato_admin:22 - cid:[K07GEE9P8X1F97K6BD39BKNWHSES], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:43:11,485 - INFO - 3692:Dummy-29 - zato_admin:22 - cid:[K04XB1R5VPT4EQPEBPGTNDK6QY5X], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:43:11,506 - INFO - 3692:Dummy-29 - zato_admin:22 - cid:[K04XB1R5VPT4EQPEBPGTNDK6QY5X], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
